filename,qx,qy,qz,qw
Scenario_01.fits,-0.704416026,0.061628417,0,0.707106781
Scenario_02.fits,-0.704416026,0.061628417,0.005,0.707106781
Scenario_03.fits,-0.704,0.065,0,0.707106781
Scenario_04.fits,-0.7,0.06,-0.01,0.707106781
Scenario_05.fits,-0.704416026,0.061628417,-0.005,0.707106781
Scenario_06.fits,-0.7065,0.0585,0.000,0.707106781
Scenario_07.fits,-0.7020,0.0645,0.000,0.707106781
Scenario_08.fits,-0.7040,0.0610,0.010,0.707106781
Scenario_09.fits,-0.7040,0.0610,-0.010,0.707106781
Scenario_10.fits,-0.7015,0.0660,0.004,0.707106781
